"#","Êtes-vous  entreprise, fonction publique, représentant gouvernemental ou institutionnel?
","Pensez-vous que l’IA doit être régulée autant que possible pour protéger les utilisateurs?","Pensez-vous que l’IA doit être régulée le moins possible pour protéger l’innovation?","polis_id","Start Date (UTC)","Submit Date (UTC)"
"67b8cbb97de3ed0012eb7754","Institutionnel","Non","Oui","ddf1ada0-e1ba-463e-bc59-0bce82785d84","2025-02-21T18:53:34.000Z","2025-02-21T18:53:45.000Z"
"67b1b4837de3ed0012eb74e2","Fonction publique","Oui","Non","4f7a3d38-f7f2-419c-8c32-82916494cacd","2025-02-16T09:48:29.000Z","2025-02-16T09:48:51.000Z"
"67b020937de3ed0012eb7493","Entreprise","Oui","Non","94bcb277-e677-4518-8eb3-9b71752780ec","2025-02-15T05:05:01.000Z","2025-02-15T05:05:23.000Z"
"67afc5907de3ed0012eb7474","Entreprise","Oui","Non","562fa467-64e1-4169-b0ee-7aedd9d04b1c","2025-02-14T22:36:53.000Z","2025-02-14T22:37:04.000Z"
"67ae2e2f7de3ed0012eb73f9","Entreprise","Oui","Oui","6cabc6dc-ecfd-458d-b254-42a6a77e9072","2025-02-13T17:38:04.000Z","2025-02-13T17:38:55.000Z"
"67ae276d7de3ed0012eb73e4","Fonction publique","Oui","Non","8cbb9191-5b64-40ef-a276-48b5d0250c16","2025-02-13T17:09:51.000Z","2025-02-13T17:10:05.000Z"
"67ae24e47de3ed0012eb73cd","Entreprise","Oui","Non","00ce2571-b23b-4975-bdb1-adbfbd882b52","2025-02-13T16:59:04.000Z","2025-02-13T16:59:16.000Z"
"67ae1ded7de3ed0012eb73ac","Institutionnel","Oui","Oui","b2d69188-483b-41e4-aa3a-e5381740f48f","2025-02-13T16:28:39.000Z","2025-02-13T16:29:33.000Z"
"67ae1dd07de3ed0012eb73a3","Entreprise","Non","Non","f11f3162-01ad-4497-b354-0add9f979a0a","2025-02-13T16:28:42.000Z","2025-02-13T16:29:04.000Z"
"67ae1cfc7de3ed0012eb7388","Institutionnel","Oui","Non","dc493105-e662-4d9a-9e55-71f6cef4e416","2025-02-13T16:24:55.000Z","2025-02-13T16:25:32.000Z"
"67ae1abd7de3ed0012eb7373","Entreprise","Oui","Non","86408954-a538-4669-9310-980e3055e6f9","2025-02-13T16:15:10.000Z","2025-02-13T16:15:57.000Z"
"67ae189a7de3ed0012eb7364","Entreprise","Oui","Non","0fc13665-3364-4aec-ad7b-a646810b0482","2025-02-13T16:06:29.000Z","2025-02-13T16:06:50.000Z"
"67ae18947de3ed0012eb735b","Entreprise","Oui","Non","c2f60f28-6d1e-4729-ad72-f989a8911f18","2025-02-13T16:06:19.000Z","2025-02-13T16:06:44.000Z"
"67ae16647de3ed0012eb733e","Fonction publique","Oui","Non","ccfa701a-a49c-4fa8-83d9-1fcdecacfafd","2025-02-13T15:56:57.000Z","2025-02-13T15:57:24.000Z"
"67ae14f17de3ed0012eb732f","Entreprise","Non","Non","98b85458-c3a2-40ab-8281-88b5f47ffeeb","2025-02-13T15:50:49.000Z","2025-02-13T15:51:13.000Z"
"67ae14e17de3ed0012eb7326","Entreprise","Oui","Non","55c9736c-e90f-4628-aa50-745de8d77c0d","2025-02-13T15:50:12.000Z","2025-02-13T15:50:57.000Z"
"67ae11b67de3ed0012eb730b","Entreprise","Oui","Non","0ef851b4-9d53-4694-b4bc-5f8b22f73cb2","2025-02-13T15:35:57.000Z","2025-02-13T15:37:26.000Z"
"67ae0ee47de3ed0012eb72f6","Entreprise","Oui","Non","381822dd-4139-4c1f-8dea-7ecba318c59b","2025-02-13T15:23:40.000Z","2025-02-13T15:25:24.000Z"
"67ae0da27de3ed0012eb72e1","Entreprise","Oui","Oui","b7397eb6-5247-4bce-9058-f92443ddcf71","2025-02-13T15:19:22.000Z","2025-02-13T15:20:02.000Z"
"67ae0d4b7de3ed0012eb72d2","Entreprise","Oui","Oui","090a8827-658f-4375-a6f1-54a8d8252b52","2025-02-13T15:18:06.000Z","2025-02-13T15:18:35.000Z"
"67ae0d387de3ed0012eb72bd","Entreprise","Oui","Non","9cc3a0ef-8a50-4a8a-a0d3-7b32dbc9deeb","2025-02-13T15:18:00.000Z","2025-02-13T15:18:16.000Z"
"67ae0ce37de3ed0012eb7296","Entreprise","Oui","Non","f5079c6b-6e46-4a67-a711-cd422e961e3c","2025-02-13T15:16:35.000Z","2025-02-13T15:16:51.000Z"
"67ae0cc07de3ed0012eb7281","Entreprise","Oui","Non","fe9b739b-8dae-43e7-b04f-2192c6a473be","2025-02-13T15:15:43.000Z","2025-02-13T15:16:16.000Z"
"67ae0c5d7de3ed0012eb7272","Entreprise","Oui","Non","ebf516d7-d20b-4fef-a36b-442b049971b3","2025-02-13T15:13:50.000Z","2025-02-13T15:14:37.000Z"
"67ae0c3b7de3ed0012eb7269","Entreprise","Oui","Oui","13944e6a-e2d1-4eec-873e-2fdc643b67f1","2025-02-13T15:13:44.000Z","2025-02-13T15:14:03.000Z"
"67ae0c2b7de3ed0012eb725a","Entreprise","Oui","Non","5dafe606-d24a-42fc-b1ae-0075993b8ce4","2025-02-13T15:13:28.000Z","2025-02-13T15:13:47.000Z"
"67ae038a7de3ed0012eb723d","Entreprise","Oui","Oui","b7d387c3-15e3-4416-b3e5-c137ccfcc4fe","2025-02-13T14:36:12.000Z","2025-02-13T14:36:58.000Z"
"67adffaa7de3ed0012eb722e","Entreprise","Non","Oui","cd33f318-6c78-41d9-a9ee-b59a19f53c8d","2025-02-13T14:19:50.000Z","2025-02-13T14:20:26.000Z"
"67adfec87de3ed0012eb721f","Entreprise","Oui","Oui","a440fa9f-d3a9-46a9-b0d4-e05ec6f39c3f","2025-02-13T13:30:39.000Z","2025-02-13T14:16:40.000Z"
"67adfe8f7de3ed0012eb7216","Fonction publique","Non","Non","cf56906c-9eeb-447a-9b32-504fcbaed5c4","2025-02-13T14:15:28.000Z","2025-02-13T14:15:43.000Z"
"67adfa097de3ed0012eb71f5","Entreprise","Oui","Non","b9334928-56d1-41bc-9c86-69ea10d7f64c","2025-02-13T13:55:49.000Z","2025-02-13T13:56:25.000Z"
"67adf9a57de3ed0012eb71e6","Entreprise","Oui","Non","47cd06ea-ae75-424b-bc27-ce3410f430f4","2025-02-13T13:54:32.000Z","2025-02-13T13:54:45.000Z"
"67adf9717de3ed0012eb71d7","Fonction publique","Oui","Oui","7c0295e6-4c06-4904-b7d5-571fdebea7d4","2025-02-13T13:53:37.000Z","2025-02-13T13:53:53.000Z"
"67adf8fc7de3ed0012eb71cd","Entreprise","Oui","Oui","4e5116de-aaf7-48aa-9b1f-adf0e0c06e2c","2025-02-13T13:51:03.000Z","2025-02-13T13:51:56.000Z"
"67adf8fb7de3ed0012eb71c4","Entreprise","Oui","Oui","7b63c9c5-fe9b-44d6-bdb7-8d0c567f5342","2025-02-13T13:51:14.000Z","2025-02-13T13:51:55.000Z"
"67adf8f57de3ed0012eb71c0","Fonction publique","Oui","Non","79921237-3899-4877-99d2-62fc33bb4bbc","2025-02-13T13:51:31.000Z","2025-02-13T13:51:49.000Z"
"67adf8f27de3ed0012eb71b7","Entreprise","Oui","Non","5746db44-9921-4f63-8f17-523143a274e1","2025-02-13T13:50:54.000Z","2025-02-13T13:51:46.000Z"
"67adf8db7de3ed0012eb71ad","Entreprise","Oui","Oui","3137f512-59d9-4627-881a-2903e12f8758","2025-02-13T13:51:02.000Z","2025-02-13T13:51:23.000Z"
"67adf8d77de3ed0012eb71a4","Institutionnel","Non","Oui","6efafc2f-e31b-438f-b520-d95f79642f66","2025-02-13T13:51:03.000Z","2025-02-13T13:51:19.000Z"
"67adf8cf7de3ed0012eb719a","Entreprise","Oui","Oui","f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7","2025-02-13T13:50:31.000Z","2025-02-13T13:51:11.000Z"
"67adf8cd7de3ed0012eb7191","Entreprise","Oui","Non","2e9fba57-1b44-4801-ba05-487500e0e1d3","2025-02-13T13:50:44.000Z","2025-02-13T13:51:09.000Z"
"67adf8c07de3ed0012eb7176","Institutionnel","Oui","Non","5e3f6547-e8ec-46bf-8d38-14d80e2a6e54","2025-02-13T13:30:36.000Z","2025-02-13T13:50:56.000Z"
"67adf85a7de3ed0012eb715b","Entreprise","Oui","Non","35c6ca06-2e7a-41ba-8f33-41ce79fa09e6","2025-02-13T13:49:00.000Z","2025-02-13T13:49:14.000Z"
"67adf7a27de3ed0012eb7146","Entreprise","Oui","Non","030ae34e-8658-4517-99db-0c297ca651ab","2025-02-13T13:45:46.000Z","2025-02-13T13:46:10.000Z"
"67adf6c67de3ed0012eb712b","Institutionnel","Oui","Non","81e56552-f431-44c6-a23c-8aa7c0d051dc","2025-02-13T13:42:09.000Z","2025-02-13T13:42:30.000Z"
"67adf5d57de3ed0012eb70cd","Entreprise","Oui","Non","58b0b759-378c-4518-87ce-6f0d4e97e4b4","2025-02-13T13:37:55.000Z","2025-02-13T13:38:29.000Z"
"67adf5777de3ed0012eb70b8","Fonction publique","Oui","Non","82858242-6c36-46c7-bc3b-762ca340601b","2025-02-13T13:30:45.000Z","2025-02-13T13:36:55.000Z"
"67adf4be7de3ed0012eb70af","Entreprise","Oui","Oui","64c735c5-eaeb-4d8d-83b2-b6e7723e5425","2025-02-13T13:33:27.000Z","2025-02-13T13:33:50.000Z"
"67adf4947de3ed0012eb70a0","Entreprise","Oui","Non","92908b97-81d7-4c0b-8f6e-67de1993e429","2025-02-13T13:32:16.000Z","2025-02-13T13:33:08.000Z"
"67adf4777de3ed0012eb7091","Fonction publique","Oui","Non","8e95cbc1-00fc-472b-aeb0-10d75351e80b","2025-02-13T13:32:16.000Z","2025-02-13T13:32:39.000Z"
"67adf46a7de3ed0012eb7088","Entreprise","Oui","Non","5f1c4dc6-f1d6-45a1-8e75-91741997da28","2025-02-13T13:31:32.000Z","2025-02-13T13:32:26.000Z"
"67adf45e7de3ed0012eb7073","Fonction publique","Oui","Oui","dd32eada-4425-43b7-adb0-4786aade8460","2025-02-13T13:31:32.000Z","2025-02-13T13:32:14.000Z"
"67adf4527de3ed0012eb706a","Fonction publique","Oui","Oui","e3412212-d98e-4f94-9d7b-c9338f44f4e1","2025-02-13T13:31:23.000Z","2025-02-13T13:32:02.000Z"
"67adf4497de3ed0012eb7061","Entreprise","Oui","Non","55e229f3-4b57-4930-a7ed-844910104ab3","2025-02-13T13:30:43.000Z","2025-02-13T13:31:53.000Z"
"67adf43e7de3ed0012eb7058","Entreprise","Oui","Non","0d75710c-9671-40db-ba74-ad979a484cce","2025-02-13T13:30:39.000Z","2025-02-13T13:31:42.000Z"
"67adf4357de3ed0012eb704e","Fonction publique","Oui","Non","dd73aa88-fb85-4095-bde3-843bc88d7798","2025-02-13T13:31:16.000Z","2025-02-13T13:31:33.000Z"
"67adf4357de3ed0012eb704a","Entreprise","Oui","Oui","63a7fb35-ce50-4fbc-a310-46b859c05895","2025-02-13T13:30:54.000Z","2025-02-13T13:31:33.000Z"
"67adf4327de3ed0012eb703a","Entreprise","Non","Oui","1bb559c5-0465-4ec0-8ef5-49908042d117","2025-02-13T13:30:51.000Z","2025-02-13T13:31:30.000Z"
"67adf4317de3ed0012eb7031","Entreprise","Oui","Non","1da61af9-df92-4377-858e-e85d623648d0","2025-02-13T13:30:58.000Z","2025-02-13T13:31:29.000Z"
"67adf42c7de3ed0012eb702d","Fonction publique","Oui","Non","fefd4257-0de6-4ef0-9695-560ec0757fca","2025-02-13T13:31:09.000Z","2025-02-13T13:31:24.000Z"
"67adf4287de3ed0012eb701e","Entreprise","Oui","Non","2c7dfd50-cfb4-4f9c-8b21-ad78a1eb0ff7","2025-02-13T13:31:03.000Z","2025-02-13T13:31:20.000Z"
"67adf4257de3ed0012eb701a","Entreprise","Oui","Oui","af48f798-1ab2-4fc3-b870-8d98e3ccc6a4","2025-02-13T13:30:55.000Z","2025-02-13T13:31:17.000Z"
"67adf4237de3ed0012eb7010","Entreprise","Oui","Non","51af783e-f077-495f-8cb7-9c9cea3891d2","2025-02-13T13:30:53.000Z","2025-02-13T13:31:15.000Z"
"67adf4237de3ed0012eb7007","Entreprise","Oui","Non","a1e65b25-337d-4d2b-af3e-cc2257da4a1a","2025-02-13T13:30:48.000Z","2025-02-13T13:31:15.000Z"
"67adf41b7de3ed0012eb6ff8","Fonction publique","Oui","Non","650a0127-5b97-4432-8c95-058451fe9f67","2025-02-13T13:30:45.000Z","2025-02-13T13:31:07.000Z"
"67adf41a7de3ed0012eb6ff4","Entreprise","Oui","Oui","50f810c9-ef60-46af-9972-ddab09822156","2025-02-13T13:30:46.000Z","2025-02-13T13:31:06.000Z"
"67adf41a7de3ed0012eb6ff0","Fonction publique","Oui","Oui","7eaa9350-11a7-4aac-85b8-8e2c1b509e8a","2025-02-13T13:30:36.000Z","2025-02-13T13:31:06.000Z"
"67adf4197de3ed0012eb6fec","Entreprise","Oui","Non","a29c7263-ddd3-433b-a1fb-92af1aac76c2","2025-02-13T13:30:44.000Z","2025-02-13T13:31:05.000Z"
"67adf4157de3ed0012eb6fdd","Entreprise","Oui","Oui","74887b4d-b07b-4cb4-bd64-5801f0d30abf","2025-02-13T13:30:29.000Z","2025-02-13T13:31:01.000Z"
"67adf4107de3ed0012eb6fd3","Entreprise","Oui","Non","350313a1-fa8b-478d-b682-f979e2a6b8de","2025-02-13T13:30:43.000Z","2025-02-13T13:30:56.000Z"
"67adf40f7de3ed0012eb6fc9","Entreprise","Oui","Non","051eb1d2-ed23-4c58-8e34-aa17011e89b8","2025-02-13T13:30:37.000Z","2025-02-13T13:30:55.000Z"
"67adf40e7de3ed0012eb6fba","Institutionnel","Oui","Non","9c4f85ad-8a2c-41fc-aaed-3548a5c431e8","2025-02-13T13:30:33.000Z","2025-02-13T13:30:54.000Z"
"67adf3ec7de3ed0012eb6f39","Institutionnel","Oui","Non","b939cdb9-faa9-49a5-b1ac-726aeb6174c0","2025-02-13T13:29:58.000Z","2025-02-13T13:30:20.000Z"
"67ade82c7de3ed0012eb6f16","Entreprise","Oui","Non","4b7326b8-6d23-48b2-b416-df2a274caeb8","2025-02-13T12:39:30.000Z","2025-02-13T12:40:12.000Z"
"67adb0877de3ed0012eb6ed5","Entreprise","Non","Non","452d2f4e-7434-4bc0-bb67-fa47b96d9e6e","2025-02-13T08:42:11.000Z","2025-02-13T08:42:47.000Z"